epoch,train_loss,test_loss,train_accuracy,test_accuracy
502,0.1762,2.3625,0.9532,0.5
503,0.1621,2.1208,0.9592,0.489
504,0.1619,2.4031,0.96,0.478
505,0.1596,2.3944,0.9582,0.499
506,0.1816,2.5972,0.9532,0.467
507,0.1811,2.5769,0.9578,0.47
508,0.1715,2.3394,0.9564,0.489
509,0.1608,2.2922,0.9614,0.481
510,0.1724,2.1468,0.9602,0.495
511,0.176,2.6334,0.95,0.478
512,0.1745,2.2179,0.9548,0.494
513,0.1765,2.6478,0.9532,0.461
514,0.1703,2.0662,0.9586,0.531
515,0.1715,2.6274,0.9548,0.454
516,0.1607,2.5029,0.9586,0.494
517,0.182,2.4736,0.9494,0.485
518,0.1683,2.3333,0.956,0.477
519,0.176,2.3521,0.955,0.489
520,0.1691,2.2443,0.9544,0.48
521,0.1687,2.4402,0.9588,0.486
522,0.1594,2.396,0.96,0.476
523,0.1491,2.5097,0.9618,0.46
524,0.1693,2.2143,0.9594,0.474
525,0.1719,2.3324,0.956,0.47
526,0.1634,2.4174,0.9574,0.482
527,0.1691,2.3714,0.9524,0.459
528,0.1595,2.6086,0.964,0.48
529,0.1732,2.5835,0.9594,0.468
530,0.155,2.3958,0.9618,0.48
531,0.1605,2.6509,0.961,0.483
532,0.1645,2.2365,0.9572,0.482
533,0.1647,2.185,0.9576,0.503
534,0.1779,2.2797,0.9514,0.493
535,0.1703,2.1834,0.9568,0.485
536,0.1865,2.4703,0.953,0.485
537,0.1651,2.3859,0.9554,0.487
538,0.1731,2.3083,0.9566,0.48
539,0.1584,2.2124,0.9584,0.505
540,0.1536,2.4396,0.96,0.491
541,0.1477,2.4099,0.962,0.483
542,0.1644,2.2763,0.9538,0.477
543,0.1737,2.2896,0.9538,0.472
544,0.1705,2.415,0.9582,0.5
545,0.1522,2.4151,0.959,0.5
546,0.1677,2.3187,0.9556,0.48
547,0.1501,2.7959,0.9632,0.473
548,0.1636,2.2978,0.9584,0.475
549,0.1668,2.5533,0.9594,0.447
550,0.1645,2.5625,0.9592,0.459
551,0.1572,2.8011,0.959,0.467
552,0.1488,2.4471,0.9602,0.471
553,0.1549,2.3561,0.9566,0.471
554,0.1568,2.6034,0.9586,0.479
555,0.1492,2.6916,0.9618,0.464
556,0.1564,2.5238,0.9592,0.473
557,0.165,2.5243,0.9558,0.483
558,0.1643,2.3263,0.9598,0.495
559,0.1639,2.3508,0.9566,0.479
560,0.1417,2.5421,0.965,0.479
561,0.1418,2.3095,0.9638,0.501
562,0.1448,2.3619,0.9618,0.48
563,0.148,2.533,0.9616,0.482
564,0.1644,2.3309,0.9546,0.488
565,0.1583,2.3494,0.959,0.49
566,0.1567,2.2491,0.9558,0.494
567,0.1478,2.5336,0.9588,0.472
568,0.1481,2.5077,0.9634,0.484
569,0.1432,2.5355,0.9652,0.477
570,0.1672,2.6338,0.9536,0.459
571,0.1525,2.5807,0.958,0.458
572,0.1592,2.2921,0.9582,0.49
573,0.1641,2.1391,0.9626,0.469
574,0.1485,2.4151,0.9604,0.484
575,0.1493,2.1917,0.9632,0.5
576,0.1516,2.5865,0.9608,0.472
577,0.1419,2.3906,0.9638,0.482
578,0.1577,2.3087,0.9588,0.466
579,0.1516,2.2284,0.9578,0.499
580,0.1369,2.4649,0.9694,0.482
581,0.1459,2.5541,0.9602,0.47
582,0.134,2.6039,0.9654,0.478
583,0.1413,2.7585,0.9642,0.487
584,0.1392,2.4805,0.9626,0.463
585,0.1362,2.5195,0.963,0.467
586,0.1442,2.6392,0.96,0.473
587,0.1475,2.6501,0.9596,0.463
588,0.1655,2.554,0.9596,0.48
589,0.1428,2.5132,0.9632,0.506
590,0.1397,2.4738,0.9652,0.464
591,0.137,2.32,0.9664,0.493
592,0.1297,2.5273,0.9656,0.486
593,0.136,2.5173,0.9648,0.49
594,0.1355,2.5371,0.9666,0.497
595,0.1312,2.5984,0.967,0.486
596,0.1364,2.4633,0.9654,0.475
597,0.1301,2.3591,0.968,0.485
598,0.1444,2.3738,0.9636,0.485
599,0.1434,2.7509,0.9638,0.475
600,0.1376,2.3682,0.9656,0.478
601,0.1335,2.4631,0.9656,0.479
602,0.1313,2.5674,0.9678,0.476
603,0.1371,2.4412,0.9646,0.49
604,0.1207,2.5171,0.9702,0.48
605,0.1335,2.5986,0.9646,0.49
606,0.1393,2.4026,0.964,0.486
607,0.1386,2.649,0.9618,0.486
608,0.1414,2.6859,0.9608,0.476
609,0.1419,2.2878,0.9648,0.482
610,0.1467,2.9984,0.9638,0.43
611,0.1475,2.5867,0.9606,0.481
612,0.1357,2.3466,0.9662,0.463
613,0.1451,2.4293,0.9598,0.491
614,0.1387,2.4864,0.9584,0.479
615,0.1511,2.4002,0.9606,0.499
616,0.1411,2.6127,0.9616,0.498
617,0.1359,2.4736,0.9642,0.48
618,0.122,2.4791,0.9696,0.49
619,0.1399,2.3898,0.9654,0.489
620,0.1255,2.6512,0.9686,0.495
621,0.1491,2.3458,0.9628,0.472
622,0.1328,2.8369,0.9668,0.478
623,0.1307,2.4865,0.9694,0.496
624,0.1387,2.4853,0.961,0.491
625,0.153,3.0019,0.959,0.453
626,0.1353,2.6352,0.9676,0.47
627,0.1184,2.8051,0.9706,0.456
628,0.1367,2.5238,0.9628,0.474
629,0.1458,2.5974,0.9592,0.448
630,0.1307,2.7934,0.9646,0.466
631,0.1312,2.5838,0.9684,0.483
